ticker,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-12-12,8.15,32.59,1165.0,21.4815,4.5168,1.8050000000000002,5.12,4.6552
2019-12-13,8.16,32.59,1163.7,21.4576,4.5118,1.803,5.12,4.6604
2019-12-16,8.16,32.59,1176.3,21.6899,4.5606,1.8225,5.07,4.6104
2019-12-17,8.19,32.59,1175.27,21.6709,4.5565999999999995,1.8209,5.07,4.6145
2019-12-18,8.2,32.59,1176.7,21.6973,4.5622,1.8231000000000002,5.07,4.6089
2019-12-19,8.17,32.59,1181.27,21.7816,4.5799,1.8302,5.05,4.591
2019-12-20,8.18,32.59,1190.45,21.9508,4.6155,1.8444,5.01,4.5556
2019-12-23,8.19,32.59,1194.33,22.0663,4.6267,1.8625,4.98,4.5318000000000005
2019-12-24,8.19,32.59,1193.14,22.0443,4.6221,1.8606,4.98,4.5363
2019-12-25,8.19,32.59,1193.14,22.0443,4.6221,1.8606,4.98,4.5363
2019-12-26,8.19,32.59,1191.73,22.0183,4.6166,1.8584,4.99,4.5417
2019-12-27,8.19,32.59,1192.49,22.0323,4.6196,1.8596,4.99,4.5388
2019-12-30,3.14,32.49,1184.66,21.9112,4.579,1.8462,5.04,4.5639
2019-12-31,3.14,32.96,1188.2,21.2825,4.3795,1.7934,5.25,4.6987
2020-01-01,3.14,32.96,1188.2,21.2825,4.3795,1.7934,5.25,4.6987
